epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,85.889,0.96295,3.82707,0.01335,0.68751,0.63007,0.70815,0.52534,0.87911,4.4034,0.0154,0.00993865,0.00331288,0.00993865,0.00331288,0.00993865,0.00331288,0.00993865,0.00331288
2,141.03,1.0058,1.97475,0.01369,0.79955,0.74469,0.84514,0.61408,0.95261,0.86646,0.01648,0.0198729,0.00662428,0.0198729,0.00662428,0.0198729,0.00662428,0.0198729,0.00662428
3,191.135,1.07335,1.28289,0.0148,0.83439,0.72835,0.82518,0.58872,1.0049,0.81824,0.01844,0.0297411,0.00991369,0.0297411,0.00991369,0.0297411,0.00991369,0.0297411,0.00991369
4,239.541,1.09009,1.10499,0.01605,0.85135,0.76759,0.86975,0.61728,1.02804,0.73733,0.01934,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,288.502,1.09398,0.99326,0.01576,0.84626,0.7839,0.87529,0.64147,0.95121,0.65445,0.01659,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,337.123,1.09235,0.88643,0.01562,0.86835,0.79895,0.88181,0.63379,0.95285,0.7118,0.01671,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,385.699,1.09856,0.89909,0.01493,0.86013,0.77231,0.86821,0.5882,1.10358,0.69091,0.02095,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,434.78,1.06172,0.82259,0.01483,0.88799,0.84163,0.92009,0.69117,0.88984,0.49827,0.01523,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,484.184,1.07681,0.80918,0.01434,0.89306,0.83748,0.91987,0.66422,0.94137,0.54343,0.01697,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,533.361,1.06186,0.80008,0.01472,0.87084,0.80437,0.89354,0.66411,0.89158,0.64262,0.01544,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,582.212,1.05208,0.7837,0.0146,0.89357,0.82122,0.90197,0.66127,0.92423,0.55157,0.01632,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,631.076,1.0264,0.74823,0.014,0.90685,0.83105,0.90487,0.66026,0.95833,0.56667,0.01702,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,680.278,1.02755,0.73057,0.01424,0.89293,0.83697,0.92066,0.68367,0.90035,0.50425,0.016,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,729.513,1.02843,0.72711,0.01417,0.89614,0.84695,0.91953,0.68208,0.91862,0.48656,0.01574,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,778.644,1.02019,0.71217,0.01349,0.89311,0.84429,0.92028,0.68042,0.91454,0.52697,0.01632,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,827.895,0.99528,0.6908,0.01364,0.90864,0.86052,0.93134,0.71018,0.84559,0.46129,0.01398,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,876.465,0.99946,0.67466,0.0137,0.91951,0.81775,0.91391,0.67528,0.95026,0.51824,0.01656,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,925.595,0.99764,0.68419,0.01316,0.89672,0.84393,0.92021,0.69281,0.87847,0.49279,0.01512,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,974.013,1.01359,0.73163,0.01358,0.90783,0.84503,0.92458,0.68951,0.87695,0.48279,0.0147,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,1023.76,0.98363,0.65812,0.01327,0.90692,0.85131,0.93099,0.70315,0.87537,0.47619,0.01506,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,1073.02,0.95828,0.64124,0.01286,0.88139,0.88139,0.93776,0.71427,0.85351,0.47094,0.01458,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,1122.25,0.96848,0.6242,0.01298,0.90365,0.84812,0.91487,0.68167,0.91126,0.49096,0.01585,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,1170.42,0.97165,0.65056,0.01315,0.90664,0.86076,0.9302,0.70143,0.85672,0.44085,0.014,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,1219.81,0.96333,0.62195,0.01294,0.91609,0.86549,0.93915,0.71263,0.84691,0.45315,0.01425,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,1268.99,0.99517,0.63714,0.01306,0.91973,0.85878,0.93842,0.7051,0.88,0.42969,0.01503,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,1318.26,0.95089,0.61894,0.0129,0.92905,0.85699,0.93217,0.71013,0.85706,0.44324,0.01493,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,1367.12,0.94727,0.61474,0.01231,0.93057,0.8709,0.94208,0.72857,0.79148,0.41281,0.01287,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,1416.59,0.9561,0.60464,0.01253,0.91409,0.8727,0.9333,0.71767,0.83519,0.44058,0.01389,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,1465.7,0.95171,0.61672,0.01225,0.92433,0.8642,0.93523,0.72121,0.81592,0.41992,0.01352,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,1514.64,0.93598,0.61118,0.01218,0.91863,0.87308,0.9377,0.71665,0.83586,0.42893,0.01385,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,1563.88,0.93094,0.5949,0.01255,0.91286,0.88367,0.94477,0.73022,0.82282,0.38296,0.01315,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,1613.33,0.95527,0.60659,0.01241,0.91603,0.87972,0.94089,0.7182,0.83699,0.4191,0.01408,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,1662.94,0.91706,0.55747,0.01214,0.92549,0.8852,0.94491,0.72951,0.82713,0.38106,0.01314,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,1711.75,0.95262,0.61565,0.01204,0.91285,0.87725,0.93773,0.71912,0.81714,0.46931,0.01332,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,1760.24,0.94651,0.59814,0.01224,0.90118,0.89642,0.94424,0.73643,0.79472,0.38835,0.0127,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,1809.79,0.93109,0.558,0.01145,0.91836,0.89387,0.95175,0.72896,0.8277,0.42644,0.01371,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,1859.57,0.92144,0.5514,0.01198,0.91274,0.87385,0.94268,0.72864,0.79947,0.39303,0.01285,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,1909.26,0.90563,0.55471,0.01208,0.9286,0.88523,0.94792,0.73836,0.79004,0.39169,0.01277,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,1958.44,0.91823,0.53657,0.01207,0.91968,0.89172,0.94774,0.73481,0.81734,0.36608,0.01296,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,2007.54,0.89576,0.52906,0.01205,0.92904,0.88275,0.94101,0.71517,0.85988,0.41942,0.01452,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,2056.44,0.91347,0.54462,0.01175,0.92625,0.88724,0.95011,0.74724,0.77561,0.37168,0.01229,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
