epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,66.2134,0.98909,1.89592,1.27245,0.8501,0.78311,0.88453,0.62027,0.90211,4.47555,1.17884,0.00993865,0.00331288,0.00993865,0.00331288,0.00993865,0.00331288,0.00993865,0.00331288
2,107.37,0.97624,1.12037,1.23707,0.77939,0.72957,0.80721,0.54849,1.031,3.67829,1.26473,0.0198729,0.00662428,0.0198729,0.00662428,0.0198729,0.00662428,0.0198729,0.00662428
3,145.281,1.05483,1.07775,1.28926,0.83939,0.65009,0.76179,0.49511,1.19488,1.69747,1.45919,0.0297411,0.00991369,0.0297411,0.00991369,0.0297411,0.00991369,0.0297411,0.00991369
4,182.421,1.09208,1.09206,1.34109,0.79289,0.61989,0.71271,0.49313,1.11037,9.64585,1.47072,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,219.87,1.08928,1.01283,1.33136,0.86961,0.76041,0.85658,0.6005,0.99222,2.34865,1.27205,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,256.912,1.06804,0.94653,1.31557,0.8743,0.70685,0.83167,0.582,1.02076,1.76867,1.29062,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,293.616,1.05822,0.91888,1.29514,0.87415,0.78411,0.86376,0.59381,1.0245,2.60811,1.27686,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,330.54,1.01605,0.8628,1.27255,0.88715,0.75475,0.85868,0.6155,0.98472,1.4276,1.27837,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,367.32,1.02558,0.85813,1.26907,0.88967,0.83454,0.90632,0.67633,0.87114,2.1422,1.14112,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,404.917,1.00299,0.81065,1.26014,0.84956,0.806,0.8751,0.64242,0.92345,1.4904,1.18569,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,441.667,0.97005,0.79586,1.24611,0.88734,0.796,0.86816,0.63168,0.93799,2.21626,1.20022,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,479.021,0.96328,0.77675,1.23187,0.89486,0.81882,0.89723,0.66922,0.89514,0.84704,1.16796,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,516.457,0.93868,0.74107,1.22673,0.85972,0.79332,0.86062,0.63402,0.9295,0.96285,1.2102,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,553.344,0.9375,0.72828,1.23037,0.90213,0.81596,0.8967,0.67195,0.88102,0.713,1.13875,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,590.313,0.93456,0.72813,1.21537,0.88349,0.8277,0.90666,0.67604,0.87649,1.34223,1.14048,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,627.116,0.91056,0.69522,1.19597,0.92461,0.86315,0.93315,0.6974,0.85128,1.09549,1.12092,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,664.12,0.91354,0.68831,1.2094,0.90825,0.82397,0.89847,0.66477,0.89679,4.8583,1.15612,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,701.01,0.91043,0.68798,1.20049,0.91558,0.85815,0.9325,0.70598,0.84508,0.7748,1.10757,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,737.92,0.90573,0.69729,1.19295,0.9176,0.83562,0.92072,0.70128,0.84121,0.70321,1.10367,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,774.905,0.88811,0.66511,1.1911,0.89387,0.86419,0.92472,0.69138,0.86434,0.66752,1.12646,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,811.832,0.88349,0.65505,1.17763,0.93848,0.85486,0.93447,0.71132,0.82135,0.66912,1.08831,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,849.399,0.87382,0.63241,1.17722,0.93089,0.86872,0.93362,0.7097,0.8243,0.55722,1.08187,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,886.077,0.87204,0.65875,1.17512,0.92498,0.83385,0.92534,0.71183,0.80719,0.64305,1.07686,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,923.387,0.87193,0.63007,1.17513,0.92559,0.85519,0.93063,0.70939,0.80868,0.61118,1.08137,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,960.85,0.88774,0.64479,1.18618,0.92344,0.85965,0.92776,0.7046,0.8352,0.89595,1.09983,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,998.009,0.86283,0.6184,1.17077,0.9183,0.87822,0.9362,0.72297,0.7863,1.01686,1.0586,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,1034.8,0.84823,0.61846,1.15315,0.91655,0.87723,0.93928,0.72061,0.79974,0.55411,1.06323,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,1072.02,0.85918,0.62296,1.16664,0.93993,0.8694,0.93892,0.72153,0.79558,0.68632,1.07002,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,1109.09,0.8573,0.61117,1.15713,0.93112,0.87522,0.93516,0.72084,0.79833,0.68112,1.06184,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,1147.36,0.84307,0.62027,1.15082,0.91414,0.87403,0.94549,0.73146,0.77857,0.59136,1.05347,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,1185.43,0.83633,0.59947,1.1562,0.93644,0.87721,0.94634,0.72213,0.79923,0.63517,1.06276,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,1223.36,0.85849,0.61463,1.16115,0.9176,0.88613,0.95108,0.73355,0.78041,0.58144,1.05259,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,1260.94,0.81799,0.58203,1.14392,0.93872,0.85641,0.94067,0.73546,0.77187,0.57757,1.04042,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,1298.84,0.8491,0.61431,1.1558,0.93834,0.89249,0.95251,0.74835,0.75475,0.49271,1.02652,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,1336.58,0.84693,0.58994,1.15256,0.94349,0.88226,0.95363,0.73966,0.7701,0.65528,1.04822,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,1374.78,0.82696,0.56613,1.13003,0.92385,0.90166,0.95982,0.74507,0.76087,0.5914,1.03593,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,1413.22,0.81981,0.56094,1.13432,0.94272,0.89643,0.95575,0.74834,0.74866,0.5577,1.02203,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,1451.51,0.80087,0.57429,1.12893,0.93104,0.88776,0.94829,0.73896,0.76593,0.49275,1.03582,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,1488.51,0.81413,0.57057,1.13416,0.93439,0.88239,0.93768,0.72846,0.78762,0.47957,1.04347,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
