               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085542,            0.034944,            0.028059,             0.55455,              0.5922,             0.57552,             0.26344,            0.049346,            0.016854,           0.0094048,            0.070184,           0.0033129,           0.0033129
                   1,            0.058157,            0.026586,            0.011372,             0.43846,             0.72414,              0.5841,             0.28224,            0.044444,            0.012944,           0.0051141,            0.040162,           0.0066243,           0.0066243
                   2,            0.053751,            0.024092,           0.0083621,             0.66087,              0.7844,             0.78027,             0.37118,             0.03985,            0.012669,           0.0048518,            0.010118,           0.0099137,           0.0099137
                   3,            0.048722,             0.02343,            0.007718,             0.82158,             0.82984,             0.88554,             0.52169,            0.032312,            0.012237,           0.0038134,            0.009901,            0.009901,            0.009901
                   4,            0.043671,            0.022845,           0.0066277,             0.83925,               0.849,             0.88773,             0.49671,            0.032802,            0.012175,           0.0036863,            0.009901,            0.009901,            0.009901
                   5,            0.040631,            0.022226,           0.0061169,              0.8682,             0.81527,             0.89204,             0.56464,            0.029799,            0.012552,            0.004089,            0.009868,            0.009868,            0.009868
                   6,            0.038539,            0.022523,           0.0059026,             0.84259,             0.83359,              0.8813,             0.55892,             0.02735,            0.011937,           0.0037655,            0.009835,            0.009835,            0.009835
                   7,            0.037705,            0.022093,           0.0057142,             0.86469,             0.82616,             0.90042,             0.56305,            0.028144,             0.01216,            0.003338,            0.009802,            0.009802,            0.009802
                   8,            0.036146,            0.021947,            0.005449,             0.90431,             0.86077,             0.92652,             0.61217,            0.026167,             0.01133,           0.0029389,            0.009769,            0.009769,            0.009769
                   9,            0.035536,            0.021065,            0.005005,             0.87204,               0.861,             0.91968,             0.61648,            0.025603,             0.01184,           0.0028955,            0.009736,            0.009736,            0.009736
                  10,            0.034663,            0.021068,            0.005145,             0.89475,             0.84173,              0.9103,             0.62036,            0.027158,            0.011405,           0.0030893,            0.009703,            0.009703,            0.009703
                  11,            0.033904,            0.020896,           0.0048805,             0.90766,             0.87811,             0.93397,             0.63448,            0.025052,             0.01153,           0.0031615,             0.00967,             0.00967,             0.00967
                  12,             0.03321,            0.019975,           0.0048149,             0.89495,             0.87183,             0.92064,             0.62329,            0.026109,            0.011073,           0.0035938,            0.009637,            0.009637,            0.009637
                  13,            0.033196,            0.020203,           0.0044093,             0.88645,             0.88286,              0.9314,             0.64463,            0.024962,            0.011328,            0.002568,            0.009604,            0.009604,            0.009604
