               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072507,            0.027501,             0.02158,             0.63006,             0.67145,             0.69376,             0.22703,            0.049997,             0.01387,           0.0052779,            0.070061,           0.0033265,           0.0033265
                   1,            0.051822,            0.021446,           0.0093057,             0.72389,             0.76301,             0.76203,             0.28406,            0.043179,            0.013157,           0.0041067,            0.039995,           0.0065939,           0.0065939
                   2,            0.047688,            0.020212,           0.0083959,             0.81582,             0.79656,             0.83295,             0.39518,            0.037824,            0.014554,           0.0040145,           0.0098635,           0.0097953,           0.0097953
                   3,            0.044972,            0.020651,           0.0084081,             0.75448,             0.78271,             0.81183,             0.36418,            0.036518,            0.013141,            0.003879,            0.009703,            0.009703,            0.009703
                   4,            0.042191,            0.019941,           0.0074867,             0.79999,             0.81504,              0.8286,             0.42107,            0.033913,            0.013162,           0.0034063,            0.009703,            0.009703,            0.009703
                   5,            0.040255,            0.019611,           0.0065889,             0.84302,             0.80926,             0.85745,             0.51093,            0.029481,             0.01276,           0.0032354,            0.009604,            0.009604,            0.009604
                   6,            0.039302,            0.019409,           0.0065135,             0.87448,             0.82473,             0.89642,              0.5449,            0.028248,            0.011943,           0.0030238,            0.009505,            0.009505,            0.009505
                   7,             0.03821,            0.018837,           0.0063474,             0.86167,             0.83145,             0.88015,               0.487,            0.029691,            0.012056,           0.0032396,            0.009406,            0.009406,            0.009406
                   8,            0.037479,            0.018453,           0.0060375,             0.89786,             0.83907,             0.89908,             0.57104,            0.029363,             0.01179,           0.0030033,            0.009307,            0.009307,            0.009307
                   9,            0.036607,            0.018509,           0.0055147,             0.87429,             0.85531,             0.89992,             0.56048,            0.026679,            0.011721,           0.0027939,            0.009208,            0.009208,            0.009208
                  10,            0.036285,            0.018466,           0.0056295,             0.89181,             0.84377,             0.90685,             0.56655,            0.026908,            0.011491,           0.0027342,            0.009109,            0.009109,            0.009109
                  11,            0.035897,            0.018039,           0.0055243,             0.85653,             0.84704,             0.89259,              0.5845,            0.025616,             0.01169,           0.0027381,             0.00901,             0.00901,             0.00901
                  12,            0.035407,            0.018016,           0.0052578,             0.91056,             0.87298,             0.91922,             0.59138,            0.025646,            0.011375,           0.0025164,            0.008911,            0.008911,            0.008911
                  13,            0.034933,            0.017574,           0.0049896,             0.85891,             0.87496,             0.90647,             0.55065,            0.026673,            0.011966,           0.0026102,            0.008812,            0.008812,            0.008812
                  14,            0.034837,             0.01786,           0.0049827,             0.89784,             0.87627,             0.91807,             0.58893,             0.02543,            0.011602,           0.0022486,            0.008713,            0.008713,            0.008713
                  15,            0.034181,            0.017557,           0.0048031,             0.90331,              0.8902,             0.93426,             0.59811,            0.024906,             0.01113,           0.0023784,            0.008614,            0.008614,            0.008614
                  16,            0.033901,            0.017334,           0.0046645,              0.8832,             0.88346,             0.91724,             0.61715,            0.024473,            0.011391,           0.0025093,            0.008515,            0.008515,            0.008515
                  17,            0.033994,            0.017516,           0.0049883,             0.90419,             0.88521,             0.92287,             0.55329,            0.027989,            0.011098,           0.0022567,            0.008416,            0.008416,            0.008416
                  18,             0.03388,            0.017428,           0.0047889,             0.88246,             0.86626,              0.9222,             0.57554,            0.025531,            0.011639,           0.0023725,            0.008317,            0.008317,            0.008317
                  19,            0.033724,            0.017382,           0.0046636,             0.90951,             0.89066,              0.9341,             0.60406,            0.025148,            0.011225,           0.0020293,            0.008218,            0.008218,            0.008218
                  20,            0.033295,            0.017196,           0.0044995,             0.90807,             0.89825,             0.93688,             0.62944,            0.024255,            0.011126,           0.0022718,            0.008119,            0.008119,            0.008119
                  21,              0.0329,            0.017059,           0.0044885,             0.90115,             0.89241,             0.92277,             0.61833,            0.024041,            0.011108,           0.0021048,             0.00802,             0.00802,             0.00802
                  22,            0.032632,            0.016801,            0.004475,             0.91158,             0.88277,             0.92983,             0.59934,            0.024475,            0.011253,            0.002127,            0.007921,            0.007921,            0.007921
                  23,            0.032555,            0.016695,           0.0044593,             0.90522,             0.88397,             0.93211,             0.61296,            0.024295,            0.010915,           0.0024277,            0.007822,            0.007822,            0.007822
                  24,            0.032302,            0.016523,            0.004063,             0.91592,             0.87995,             0.93535,             0.62776,            0.023735,            0.010856,           0.0020447,            0.007723,            0.007723,            0.007723
                  25,            0.032535,            0.016731,           0.0042636,             0.90865,             0.89445,              0.9291,             0.61788,            0.023886,            0.011053,           0.0021124,            0.007624,            0.007624,            0.007624
                  26,            0.032257,            0.016686,           0.0041954,             0.90422,             0.89741,             0.93608,             0.62364,             0.02368,            0.010952,           0.0021206,            0.007525,            0.007525,            0.007525
                  27,            0.031626,            0.016318,           0.0040989,             0.90737,             0.89592,              0.9358,             0.62984,            0.023533,            0.011047,           0.0021029,            0.007426,            0.007426,            0.007426
                  28,            0.031812,            0.016607,           0.0041712,             0.91133,             0.89981,             0.93735,             0.64379,            0.023063,            0.011002,           0.0020665,            0.007327,            0.007327,            0.007327
                  29,            0.031567,            0.016412,           0.0039906,             0.91101,             0.89071,             0.93807,             0.63905,            0.022944,            0.011055,           0.0019692,            0.007228,            0.007228,            0.007228
                  30,            0.032023,            0.016445,           0.0041566,             0.91272,             0.91041,             0.93859,             0.64554,            0.022722,            0.010795,           0.0018876,            0.007129,            0.007129,            0.007129
                  31,            0.031509,            0.016239,           0.0038064,             0.92025,             0.90752,             0.94404,             0.65908,            0.022437,            0.010751,           0.0019167,             0.00703,             0.00703,             0.00703
                  32,            0.031089,            0.016325,           0.0038321,             0.91468,             0.90011,              0.9403,             0.64059,            0.022886,            0.010794,           0.0017809,            0.006931,            0.006931,            0.006931
                  33,            0.031474,            0.016411,            0.004117,             0.92821,             0.89659,             0.94281,             0.64462,            0.023297,            0.010846,           0.0020036,            0.006832,            0.006832,            0.006832
                  34,            0.030488,            0.015873,           0.0036979,             0.91672,              0.8911,             0.93785,             0.64365,             0.02286,            0.010688,           0.0020423,            0.006733,            0.006733,            0.006733
                  35,            0.030859,            0.015944,           0.0038783,             0.92432,             0.90011,             0.95054,             0.65673,            0.022979,            0.010679,           0.0021285,            0.006634,            0.006634,            0.006634
